Date,Team A,Team B,Home/Away,Result
11/08/2024,Clark MA,Anna Maria,Road,W
11/08/2024,Anna Maria,Clark MA,Home,L
11/08/2024,Coast Guard,Gordon,Home,W
11/08/2024,Gordon,Coast Guard,Road,L
11/08/2024,Brockport St.,Alma,Neutral,W
11/08/2024,Alma,Brockport St.,Neutral,L
11/08/2024,Elizabethtown,Marymount,Home,W
11/08/2024,Marymount,Elizabethtown,Road,L
11/08/2024,Elmira,Hilbert,Home,W
11/08/2024,Hilbert,Elmira,Road,L
11/08/2024,La Roche,Franciscan OH,Road,W
11/08/2024,Franciscan OH,La Roche,Home,L
11/08/2024,SUNY Cobleskill,Hartwick,Road,W
11/08/2024,Hartwick,SUNY Cobleskill,Home,L
11/08/2024,Knox,Loras,Road,W
11/08/2024,Loras,Knox,Home,L
11/08/2024,S Virginia,Lynchburg,Road,W
11/08/2024,Lynchburg,S Virginia,Home,L
11/08/2024,S Maine,ME Presque Isle,Home,W
11/08/2024,ME Presque Isle,S Maine,Road,L
11/08/2024,Vassar,Misericordia,Home,W
11/08/2024,Misericordia,Vassar,Road,L
11/08/2024,St. Lawrence,Oswego St.,Home,W
11/08/2024,Oswego St.,St. Lawrence,Road,L
11/08/2024,Wellesley,Regis MA,Road,W
11/08/2024,Regis MA,Wellesley,Home,L
11/08/2024,Bethel,Greenville,Neutral,W
11/08/2024,Greenville,Bethel,Neutral,L
11/08/2024,Schreiner,Howard Payne,Home,W
11/08/2024,Howard Payne,Schreiner,Road,L
11/08/2024,Ohio Wesleyan,Widener,Neutral,W
11/08/2024,Widener,Ohio Wesleyan,Neutral,L
11/08/2024,McDaniel,Gallaudet,Home,W
11/08/2024,Gallaudet,McDaniel,Road,L
11/08/2024,Wm Paterson,Ursinus,Neutral,W
11/08/2024,Ursinus,Wm Paterson,Neutral,L
11/08/2024,WPI,Worcester St,Neutral,W
11/08/2024,Worcester St,WPI,Neutral,L
11/08/2024,Immaculata,Alvernia,Home,W
11/08/2024,Alvernia,Immaculata,Road,L
11/08/2024,Hardin-Simmons,TX Lutheran,Road,W
11/08/2024,TX Lutheran,Hardin-Simmons,Home,L
11/08/2024,St. Joseph's NY,City Col NY,Home,W
11/08/2024,City Col NY,St. Joseph's NY,Road,L
11/08/2024,St. Norbert,St. Scholastica,Home,W
11/08/2024,St. Scholastica,St. Norbert,Road,L
11/08/2024,Carroll,Milwaukee Eng,Road,W
11/08/2024,Milwaukee Eng,Carroll,Home,L
11/08/2024,Millsaps,Univ Ozarks,Home,W
11/08/2024,Univ Ozarks,Millsaps,Road,L
11/08/2024,Berea,Belhaven MS,Neutral,W
11/08/2024,Belhaven MS,Berea,Neutral,L
11/08/2024,St. John Fisher,Susquehanna,Neutral,W
11/08/2024,Susquehanna,St. John Fisher,Neutral,L
11/08/2024,Ohio Northern,Wittenberg,Home,W
11/08/2024,Wittenberg,Ohio Northern,Road,L
11/08/2024,UW-Stout,Calvin,Neutral,W
11/08/2024,Calvin,UW-Stout,Neutral,L
11/08/2024,Chicago,Carthage,Home,W
11/08/2024,Carthage,Chicago,Road,L
11/08/2024,Penn State-Behrend,Case Western,Neutral,W
11/08/2024,Case Western,Penn State-Behrend,Neutral,L
11/08/2024,Transylvania,Chapman,Neutral,W
11/08/2024,Chapman,Transylvania,Neutral,L
11/08/2024,UW-Oshkosh,Coe,Neutral,W
11/08/2024,Coe,UW-Oshkosh,Neutral,L
11/08/2024,Redlands,St. Catherine,Home,W
11/08/2024,St. Catherine,Redlands,Road,L
11/08/2024,Houghton,Alfred St.,Home,W
11/08/2024,Alfred St.,Houghton,Road,L
11/08/2024,Carnegie Mellon,Allegheny,Road,W
11/08/2024,Allegheny,Carnegie Mellon,Home,L
11/08/2024,Covenant,Warren Wilson,Home,W
11/08/2024,Warren Wilson,Covenant,Road,L
11/08/2024,Denison,Muskingum,Road,W
11/08/2024,Muskingum,Denison,Home,L
11/08/2024,DeSales,PSU-Berks,Neutral,W
11/08/2024,PSU-Berks,DeSales,Neutral,L
11/08/2024,Eureka,Dominican IL,Road,W
11/08/2024,Dominican IL,Eureka,Home,L
11/08/2024,Notre Dame MD,E Mennonite,Road,W
11/08/2024,E Mennonite,Notre Dame MD,Home,L
11/08/2024,East Texas Baptist,Piedmont,Neutral,W
11/08/2024,Piedmont,East Texas Baptist,Neutral,L
11/08/2024,Haverford,Eastern Univ,Home,W
11/08/2024,Eastern Univ,Haverford,Road,L
11/08/2024,Brandeis,Framingham St.,Home,W
11/08/2024,Framingham St.,Brandeis,Road,L
11/08/2024,Geneseo St.,Rochester Tech,Road,W
11/08/2024,Rochester Tech,Geneseo St.,Home,L
11/08/2024,Geneva,Stevenson,Neutral,W
11/08/2024,Stevenson,Geneva,Neutral,L
11/08/2024,George Fox,Husson,Neutral,W
11/08/2024,Husson,George Fox,Neutral,L
11/08/2024,John Carroll,Grove City,Home,W
11/08/2024,Grove City,John Carroll,Road,L
11/08/2024,Gwynedd-Mercy,Muhlenberg,Home,W
11/08/2024,Muhlenberg,Gwynedd-Mercy,Road,L
11/08/2024,Hope,Wilmington OH,Home,W
11/08/2024,Wilmington OH,Hope,Road,L
11/08/2024,Rhodes,IL Tech,Home,W
11/08/2024,IL Tech,Rhodes,Road,L
11/08/2024,J&W RI,Salve Regina,Home,W
11/08/2024,Salve Regina,J&W RI,Road,L
11/08/2024,Morrisville St.,Keuka,Home,W
11/08/2024,Keuka,Morrisville St.,Road,L
11/08/2024,Keystone,Old Westbury,Home,W
11/08/2024,Old Westbury,Keystone,Road,L
11/08/2024,UW-Stevens Point,Lakeland,Neutral,W
11/08/2024,Lakeland,UW-Stevens Point,Neutral,L
11/08/2024,UW-Superior,Marian WI,Road,W
11/08/2024,Marian WI,UW-Superior,Home,L
11/08/2024,Bridgewater (VA),Mary Washington,Neutral,W
11/08/2024,Mary Washington,Bridgewater (VA),Neutral,L
11/08/2024,NYU,MIT,Home,W
11/08/2024,MIT,NYU,Road,L
11/08/2024,Centre,Averett,Road,W
11/08/2024,Averett,Centre,Home,L
11/08/2024,Babson,Swarthmore,Neutral,W
11/08/2024,Swarthmore,Babson,Neutral,L
11/08/2024,Mt. Mary,Blackburn,Home,W
11/08/2024,Blackburn,Mt. Mary,Road,L
11/08/2024,N Central IL,St. Mary's IN,Road,W
11/08/2024,St. Mary's IN,N Central IL,Home,L
11/08/2024,Oberlin,Adrian,Road,W
11/08/2024,Adrian,Oberlin,Home,L
11/08/2024,Otterbein,St. Vincent,Neutral,W
11/08/2024,St. Vincent,Otterbein,Neutral,L
11/08/2024,Chatham,Penn Col Tech,Home,W
11/08/2024,Penn Col Tech,Chatham,Road,L
11/08/2024,Waynesburg,Pitt-Greensburg,Home,W
11/08/2024,Pitt-Greensburg,Waynesburg,Road,L
11/08/2024,Rensselaer,Plattsburgh St.,Home,W
11/08/2024,Plattsburgh St.,Rensselaer,Road,L
11/08/2024,Lesley,Purchase,Neutral,W
11/08/2024,Purchase,Lesley,Neutral,L
11/08/2024,Smith,Ramapo,Home,W
11/08/2024,Ramapo,Smith,Road,L
11/08/2024,Berry,Huntingdon,Home,W
11/08/2024,Huntingdon,Berry,Road,L
11/08/2024,Rochester,FDU Madison,Home,W
11/08/2024,FDU Madison,Rochester,Road,L
11/08/2024,St. Mary's MD,Hood,Home,W
11/08/2024,Hood,St. Mary's MD,Road,L
11/08/2024,St. Olaf,Central IA,Road,W
11/08/2024,Central IA,St. Olaf,Home,L
11/08/2024,Franklin,Spalding,Home,W
11/08/2024,Spalding,Franklin,Road,L
11/08/2024,W New England,Springfield,Road,W
11/08/2024,Springfield,W New England,Home,L
11/08/2024,Olivet MI,Bluffton,Home,W
11/08/2024,Bluffton,Olivet MI,Road,L
11/08/2024,SUNY Fredonia,Thiel,Neutral,W
11/08/2024,Thiel,SUNY Fredonia,Neutral,L
11/08/2024,Wartburg,Westminster MO,Home,W
11/08/2024,Westminster MO,Wartburg,Road,L
11/08/2024,Washington & Jefferson,Baldwin Wallace,Home,W
11/08/2024,Baldwin Wallace,Washington & Jefferson,Road,L
11/08/2024,Mt. St. Joseph,Wheaton (IL),Home,W
11/08/2024,Wheaton (IL),Mt. St. Joseph,Road,L
11/08/2024,Whitman,Frank & Marsh,Neutral,W
11/08/2024,Frank & Marsh,Whitman,Neutral,L
11/08/2024,UW-Whitewater,DePauw,Home,W
11/08/2024,DePauw,UW-Whitewater,Road,L
11/08/2024,York PA,PSU-Altoona,Home,W
11/08/2024,PSU-Altoona,York PA,Road,L
11/09/2024,Centre,Peace,Road,W
11/09/2024,Peace,Centre,Home,L
11/09/2024,Guilford,Meredith,Home,W
11/09/2024,Meredith,Guilford,Road,L
11/09/2024,John Carroll,Brockport St.,Home,W
